BBL,Address,Building_Name,Owner,Wikipedia_Link
1013210022,885 2 Ave,One Dag Hammarskjöld Plaza,,https://en.wikipedia.org/wiki/One_Dag_Hammarskj%C3%B6ld_Plaza
1007830070,250 W 34th St,One Manhattan West,Brookfield Properties,https://en.wikipedia.org/wiki/One_Manhattan_West
1009950005,4 Times Square,4 Times Square,Durst Organization,https://en.wikipedia.org/wiki/4_Times_Square
1009930029,1065 Ave Of The Americas,5 Bryant Park,,https://en.wikipedia.org/wiki/5_Bryant_Park
1010130029,5 Times Square,5 Times Square,AVR Realty,https://en.wikipedia.org/wiki/5_Times_Square
1008690066,10 E 40th St,,,https://en.wikipedia.org/wiki/10_East_40th_Street
1000460009,14 Wall St,Bankers Trust Co. Building,Alexander Rovt,https://en.wikipedia.org/wiki/14_Wall_Street
1000090014,17 State St,17 State Street,RFR Realty,https://en.wikipedia.org/wiki/17_State_Street
1000220013,26 Broadway,,Newmark Grubb Knight Frank,https://en.wikipedia.org/wiki/26_Broadway
1013060001,345 Park Ave,,Rudin Management,https://en.wikipedia.org/wiki/345_Park_Avenue
1013070001,375 Park Ave,Seagram Building,RFR Realty,https://en.wikipedia.org/wiki/Seagram_Building
1000400014,48 Wall St,,,https://en.wikipedia.org/wiki/48_Wall_Street
1000220028,52 Broadway,,,https://en.wikipedia.org/wiki/52_Broadway
1000250001,55 Broad St,,Rudin Management,https://en.wikipedia.org/wiki/55_Broad_Street
1000400003,60 Wall St,,Paramount Group,https://en.wikipedia.org/wiki/60_Wall_Street
1012670022,75 Rockefeller Plaza,75 Rockefeller Plaza,RXR Realty,https://en.wikipedia.org/wiki/75_Rockefeller_Plaza
1007390001,111 8 Ave,,,https://en.wikipedia.org/wiki/111_Eighth_Avenue
1000480001,140 Broadway,,,https://en.wikipedia.org/wiki/140_Broadway
1013010001,245 Park Ave,,SL Green Realty,https://en.wikipedia.org/wiki/245_Park_Avenue
1013030001,299 Park Ave,,Fisher Brothers,https://en.wikipedia.org/wiki/299_Park_Avenue
1010320048,330 W 42nd St,,,https://en.wikipedia.org/wiki/330_West_42nd_Street
1012920037,450 Park Ave,,SL Green Realty,https://en.wikipedia.org/wiki/450_Park_Avenue
1008410049,452 5 Ave,HSBC Tower,Property & Building Corp.,https://en.wikipedia.org/wiki/452_Fifth_Avenue
1012750001,461 5 Ave,,SL Green Realty,https://en.wikipedia.org/wiki/461_Fifth_Avenue
1012910010,550 Madison Ave,,Olayan Group,https://en.wikipedia.org/wiki/550_Madison_Avenue
1012670041,650 5 Ave,,Alavi Foundation,https://en.wikipedia.org/wiki/650_Fifth_Avenue
1012710038,712 5 Ave,,Paramount Group,https://en.wikipedia.org/wiki/712_Fifth_Avenue
1010400029,825 8 Ave,One Worldwide Plaza,,https://en.wikipedia.org/wiki/One_Worldwide_Plaza
1013090032,900 3 Ave,,,https://en.wikipedia.org/wiki/Bloomingdale%27s_flagship_store
1013290001,919 3 Ave,,SL Green Realty,https://en.wikipedia.org/wiki/919_Third_Avenue
1010160036,1515 Broadway,One Astor Plaza,SL Green Realty,https://en.wikipedia.org/wiki/One_Astor_Plaza
1010210019,1619 Broadway,Brill Building,,https://en.wikipedia.org/wiki/The_Brill_Building
1010250043,1697 Broadway,Ed Sullivan Theater,,https://en.wikipedia.org/wiki/Ed_Sullivan_Theater
1007870072,256 W 38th St,Candler Building,,https://en.wikipedia.org/wiki/Candler_Building_(New_York_City)
1009990003,1560 Broadway,Paramount Plaza,Paramount Group,https://en.wikipedia.org/wiki/Paramount_Plaza
1008230024,19 W 21st St,Spero Building,,No Wikipedia page available
1009940001,7 Times Square,Times Square Tower,Boston Properties,https://en.wikipedia.org/wiki/Times_Square_Tower
1000200004,39 Broadway,Trinity Court Building,,https://en.wikipedia.org/wiki/Trinity_Court_Building
1000130001,1 Broadway,,,https://en.wikipedia.org/wiki/1_Broadway
1012870014,488 Madison Ave,,,https://en.wikipedia.org/wiki/488_Madison_Avenue
1012840002,597 5 Ave,Scribner Building,,https://en.wikipedia.org/wiki/Scribner_Building
